,Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
46,MNIST 0-4,Noisy Student,6,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3",0.988888889,0.988995248,0.002767532,0.98873978,0.999839838,0.999370743,21.13966584,0.69531703
47,MNIST 0-4,Improved Noisy Student,6,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3, ensemble_size: 2",0.988888889,0.989093303,0.002766397,0.988768416,0.999743123,0.999071871,65.87948227,1.794796944
48,MNIST 0-4,Baseline,7,None,0.987904544,0.987797344,0.003019359,0.987886585,0.999771103,0.999152915,1.940727949,0.175588131
49,MNIST 0-4,Noisy Student,7,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3",0.990192873,0.990146298,0.002453833,0.990179424,0.999849996,0.999425354,17.4121089,0.698655367
50,MNIST 0-4,Improved Noisy Student,7,"unl_factor: 0.2, threshold: 0.7, num_of_students: 3, ensemble_size: 3",0.990519778,0.99056365,0.002371523,0.990534334,0.999867561,0.999496799,58.76371694,1.486549139
51,MNIST 0-4,Baseline,8,None,0.979405034,0.979684298,0.005160987,0.980447463,0.999450078,0.998070283,2.047832251,0.129796743
52,MNIST 0-4,Noisy Student,8,"unl_factor: 0.1, threshold: 0.7, num_of_students: 3",0.988231448,0.988400774,0.00294432,0.988301533,0.999511539,0.998349213,20.31526232,0.696259737
53,MNIST 0-4,Improved Noisy Student,8,"unl_factor: 0.1, threshold: 0.7, num_of_students: 3, ensemble_size: 3",0.983981693,0.98427159,0.003997246,0.983922742,0.999390439,0.998250636,38.35192299,1.744407415
54,MNIST 0-4,Baseline,9,None,0.988558352,0.988423,0.002869956,0.988719208,0.99985993,0.999442647,1.907017231,0.172476768
55,MNIST 0-4,Noisy Student,9,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3",0.988885257,0.988796845,0.002776732,0.9888543,0.999702739,0.998886707,19.10045385,0.699703217
56,MNIST 0-4,Improved Noisy Student,9,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3, ensemble_size: 3",0.989539065,0.989537648,0.002617501,0.989567784,0.999808417,0.999229008,67.75180244,1.761590481
57,MNIST 0-4,Baseline,10,None,0.991173586,0.991080936,0.002212436,0.991346528,0.999705529,0.999127166,2.305365324,0.134594202
58,MNIST 0-4,Noisy Student,10,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2",0.990192873,0.990075355,0.002461965,0.990423824,0.999749547,0.999281963,17.89666128,0.379725218
59,MNIST 0-4,Improved Noisy Student,10,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2, ensemble_size: 2",0.990846682,0.990730722,0.002295915,0.991008034,0.999722097,0.999230879,40.94214249,1.769402504
60,MNIST 5-9,Baseline,1,None,0.980278817,0.980047771,0.004947827,0.980484484,0.999350339,0.9977763,38.49435353,0.171315908
61,MNIST 5-9,Noisy Student,1,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2",0.980958858,0.981148757,0.004742994,0.980578822,0.999411694,0.997735291,15.85624313,0.369277
62,MNIST 5-9,Improved Noisy Student,1,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2, ensemble_size: 2",0.980958858,0.981483795,0.004750049,0.980862657,0.99939678,0.998125794,28.93703532,1.75098753
63,MNIST 5-9,Baseline,2,None,0.977218633,0.977521588,0.005678323,0.977345531,0.999270487,0.997742662,1.705825329,0.128399611
64,MNIST 5-9,Noisy Student,2,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3",0.981978919,0.982214256,0.004477724,0.981777544,0.999541032,0.998328431,16.6075027,0.375300407
65,MNIST 5-9,Improved Noisy Student,2,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3, ensemble_size: 3",0.982318939,0.98232344,0.004394401,0.981979251,0.999464478,0.998207857,51.08622169,1.429016829
66,MNIST 5-9,Baseline,3,None,0.976538592,0.976893083,0.005873824,0.976626044,0.999290519,0.997557557,1.73763299,0.131910801
67,MNIST 5-9,Noisy Student,3,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3",0.983339,0.983112613,0.004172177,0.983470117,0.999679071,0.998810422,16.62434912,0.689910412
